AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PlasterSubstance002,,sbsar,36373,https://cc0textures.com/get?file=PlasterSubstance002.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PlasterSubstance002_f4ur86bq/PlasterSubstance002.sbsar
Plaster006,2K-JPG,zip,16313086,https://cc0textures.com/get?file=Plaster006_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_2K-JPG.zip
Plaster006,2K-PNG,zip,63346401,https://cc0textures.com/get?file=Plaster006_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_2K-PNG.zip
Plaster006,4K-JPG,zip,64232937,https://cc0textures.com/get?file=Plaster006_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_4K-JPG.zip
Plaster006,4K-PNG,zip,253690420,https://cc0textures.com/get?file=Plaster006_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_4K-PNG.zip
Plaster006,8K-JPG,zip,280511717,https://cc0textures.com/get?file=Plaster006_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_8K-JPG.zip
Plaster006,8K-PNG,zip,1055325921,https://cc0textures.com/get?file=Plaster006_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster006_p1l6aqbs/Plaster006_8K-PNG.zip
Plaster005,2K-JPG,zip,16526508,https://cc0textures.com/get?file=Plaster005_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_2K-JPG.zip
Plaster005,2K-PNG,zip,63566192,https://cc0textures.com/get?file=Plaster005_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_2K-PNG.zip
Plaster005,4K-JPG,zip,64409078,https://cc0textures.com/get?file=Plaster005_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_4K-JPG.zip
Plaster005,4K-PNG,zip,253660544,https://cc0textures.com/get?file=Plaster005_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_4K-PNG.zip
Plaster005,8K-JPG,zip,279405847,https://cc0textures.com/get?file=Plaster005_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_8K-JPG.zip
Plaster005,8K-PNG,zip,1053053440,https://cc0textures.com/get?file=Plaster005_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster005_eq1xolty/Plaster005_8K-PNG.zip
Plaster004,2K-JPG,zip,17429879,https://cc0textures.com/get?file=Plaster004_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_2K-JPG.zip
Plaster004,2K-PNG,zip,65322951,https://cc0textures.com/get?file=Plaster004_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_2K-PNG.zip
Plaster004,4K-JPG,zip,66636376,https://cc0textures.com/get?file=Plaster004_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_4K-JPG.zip
Plaster004,4K-PNG,zip,257043596,https://cc0textures.com/get?file=Plaster004_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_4K-PNG.zip
Plaster004,8K-JPG,zip,282851180,https://cc0textures.com/get?file=Plaster004_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_8K-JPG.zip
Plaster004,8K-PNG,zip,1053702160,https://cc0textures.com/get?file=Plaster004_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Plaster004_xurz76dg/Plaster004_8K-PNG.zip
Gravel014,2K-JPG,zip,22608089,https://cc0textures.com/get?file=Gravel014_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_2K-JPG.zip
Gravel014,2K-PNG,zip,71851105,https://cc0textures.com/get?file=Gravel014_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_2K-PNG.zip
Gravel014,4K-JPG,zip,84291142,https://cc0textures.com/get?file=Gravel014_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_4K-JPG.zip
Gravel014,4K-PNG,zip,280556471,https://cc0textures.com/get?file=Gravel014_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_4K-PNG.zip
Gravel014,8K-JPG,zip,313571705,https://cc0textures.com/get?file=Gravel014_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_8K-JPG.zip
Gravel014,8K-PNG,zip,1111158002,https://cc0textures.com/get?file=Gravel014_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_8K-PNG.zip
Gravel014,12K-JPG,zip,662464222,https://cc0textures.com/get?file=Gravel014_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_12K-JPG.zip
Gravel014,12K-PNG,zip,2451477916,https://cc0textures.com/get?file=Gravel014_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_12K-PNG.zip
Gravel014,16K-JPG,zip,1187398464,https://cc0textures.com/get?file=Gravel014_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_16K-JPG.zip
Gravel014,16K-PNG,zip,4603801671,https://cc0textures.com/get?file=Gravel014_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel014_nx2034at/Gravel014_16K-PNG.zip
Gravel013,2K-JPG,zip,22394829,https://cc0textures.com/get?file=Gravel013_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_2K-JPG.zip
Gravel013,2K-PNG,zip,72670541,https://cc0textures.com/get?file=Gravel013_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_2K-PNG.zip
Gravel013,4K-JPG,zip,81143504,https://cc0textures.com/get?file=Gravel013_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_4K-JPG.zip
Gravel013,4K-PNG,zip,281775203,https://cc0textures.com/get?file=Gravel013_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_4K-PNG.zip
Gravel013,8K-JPG,zip,289055992,https://cc0textures.com/get?file=Gravel013_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_8K-JPG.zip
Gravel013,8K-PNG,zip,1100651675,https://cc0textures.com/get?file=Gravel013_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_8K-PNG.zip
Gravel013,12K-JPG,zip,595815753,https://cc0textures.com/get?file=Gravel013_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_12K-JPG.zip
Gravel013,12K-PNG,zip,2408740146,https://cc0textures.com/get?file=Gravel013_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Gravel013_u38ytqvk/Gravel013_12K-PNG.zip
